Common Fish Name,CB's Recommended Fish Food,Temperament,Coral Safety,Grows To,Starting Tank Size,Lifespan,Sand Substrate Required,Feeding Difficulty,Feeding Times per Day,Typical Color,Community Suitability,Temperature Range,Salinity Range,Water PH,Water Alkalinity Recommendation,Water Flow Preference,Origin,Scientific Name,QR,SKU
Tang White Tail Bristletooth (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,6 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Burgundy, pinkish-purple, or deep brown body adorned with fine orange-yellow spots on the head that stream into lines along the flanks.",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Central and South Pacific Ocean,Ctenochaetus flavicauda,https://bubba751.github.io/Saltwater-HTML-Files/Tang White Tail Bristletooth (Large).html,2016898
Tang White Tail Bristletooth (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,6 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Burgundy, pinkish-purple, or deep brown body adorned with fine orange-yellow spots on the head that stream into lines along the flanks.",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Central and South Pacific Ocean,Ctenochaetus flavicauda,https://bubba751.github.io/Saltwater-HTML-Files/Tang White Tail Bristletooth (Medium).html,270543R
Tang White Tail Bristletooth (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,6 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Burgundy, pinkish-purple, or deep brown body adorned with fine orange-yellow spots on the head that stream into lines along the flanks.",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Central and South Pacific Ocean,Ctenochaetus flavicauda,https://bubba751.github.io/Saltwater-HTML-Files/Tang White Tail Bristletooth (Small).html,904806M
Tang White Tail Kole (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,6 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Yellow body transitioning to chocolate brown with maturity,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Acanthurus pyroferus (yellow/chocolate transitional mimic form),https://bubba751.github.io/Saltwater-HTML-Files/Tang White Tail Kole (Large).html,TA42
Tang White Tail Kole (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,6 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Yellow body transitioning to chocolate brown with maturity,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Acanthurus pyroferus (yellow/chocolate transitional mimic form),https://bubba751.github.io/Saltwater-HTML-Files/Tang White Tail Kole (Medium).html,Z798848
Tang White Tail Kole (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,6 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Yellow body transitioning to chocolate brown with maturity,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Acanthurus pyroferus (yellow/chocolate transitional mimic form),https://bubba751.github.io/Saltwater-HTML-Files/Tang White Tail Kole (Small).html,H120144
Tang Yellow (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,Varies,55 Gallon,10-20 Years,No,Easy,2-3,Varies by species,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Acanthuridae (general),https://bubba751.github.io/Saltwater-HTML-Files/Tang Yellow (Large).html,TA45
Tang Yellow (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,Varies,55 Gallon,10-20 Years,No,Easy,2-3,Varies by species,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Acanthuridae (general),https://bubba751.github.io/Saltwater-HTML-Files/Tang Yellow (Medium).html,TA44
Tang Yellow (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,Varies,55 Gallon,10-20 Years,No,Easy,2-3,Varies by species,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Acanthuridae (general),https://bubba751.github.io/Saltwater-HTML-Files/Tang Yellow (Small).html,TA43
Tang Yellow Chocolate Mimic (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,7 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown/tan body with fine gold striping, yellow eye ring",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii,Ctenochaetus strigosus (yellow-eye variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Yellow Chocolate Mimic (Large).html,TA46
Tang Yellow Chocolate Mimic (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,7 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown/tan body with fine gold striping, yellow eye ring",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii,Ctenochaetus strigosus (yellow-eye variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Yellow Chocolate Mimic (Medium).html,1880330
Tang Yellow Chocolate Mimic (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,7 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown/tan body with fine gold striping, yellow eye ring",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii,Ctenochaetus strigosus (yellow-eye variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Yellow Chocolate Mimic (Small).html,9247716
Tang Yellow Eyed Kole (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,8 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Solid bright yellow body,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii/Central Pacific,Zebrasoma flavescens,https://bubba751.github.io/Saltwater-HTML-Files/Tang Yellow Eyed Kole (Large).html,TA48
Tang Yellow Eyed Kole (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,8 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Solid bright yellow body,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii/Central Pacific,Zebrasoma flavescens,https://bubba751.github.io/Saltwater-HTML-Files/Tang Yellow Eyed Kole (Medium).html,TA47
Tang Yellow Eyed Kole (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,8 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Solid bright yellow body,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii/Central Pacific,Zebrasoma flavescens,https://bubba751.github.io/Saltwater-HTML-Files/Tang Yellow Eyed Kole (Small).html,3625347
Trigger Black Indicus,"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Aggressive,Not Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Black body with blue-tinged fins,Aggressive Community (fish-only preferred),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indian Ocean,Melichthys indicus / niger group,https://bubba751.github.io/Saltwater-HTML-Files/Trigger Black Indicus.html,TR08
Trigger Blue Jaw,"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Caution,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Blue-gray body, yellow fin margins, blue jaw",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Xanthichthys auromarginatus (Blue-jaw/Gilded Triggerfish),https://bubba751.github.io/Saltwater-HTML-Files/Trigger Blue Jaw.html,TR09
Trigger Clown,"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Aggressive,Not Reef Safe,20 Inches,55 Gallon,15-20 Years,No,Easy,2-3,"Black body with large white spots below, yellow net-pattern above",Aggressive Community (fish-only),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Balistoides conspicillum,https://bubba751.github.io/Saltwater-HTML-Files/Trigger Clown.html,TR01
Trigger Huma (Large),"Beta Brine, Marine Cuisine, Emerald Entree, Krill, Squid, Silverside",Aggressive,Not Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Tan body with bold black, blue, and orange geometric patterning",Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Rhinecanthus aculeatus (Picasso/Huma Huma Trigger),https://bubba751.github.io/Saltwater-HTML-Files/Trigger Huma (Large).html,TR03
Trigger Huma (Medium),"Beta Brine, Marine Cuisine, Emerald Entree, Krill, Squid, Silverside",Aggressive,Not Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Tan body with bold black, blue, and orange geometric patterning",Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Rhinecanthus aculeatus (Picasso/Huma Huma Trigger),https://bubba751.github.io/Saltwater-HTML-Files/Trigger Huma (Medium).html,TR02
Trigger Huma (Small),"Beta Brine, Marine Cuisine, Emerald Entree, Krill, Squid, Silverside",Aggressive,Not Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Tan body with bold black, blue, and orange geometric patterning",Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Rhinecanthus aculeatus (Picasso/Huma Huma Trigger),https://github.com/Bubba751/Saltwater-HTML-Files/blob/main/Trigger%20Huma%20(Small).html,4057860
Trigger Niger (Large),"Beta Brine, Marine Cuisine, Emerald Entree, Krill, Squid, Silverside",Semi-Aggressive,Reef Caution,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Deep blue-green body, red teeth",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Odonus niger,https://bubba751.github.io/Saltwater-HTML-Files/Trigger Niger (Large).html,TR07
Trigger Niger (Medium),"Beta Brine, Marine Cuisine, Emerald Entree, Krill, Squid, Silverside",Semi-Aggressive,Reef Caution,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Deep blue-green body, red teeth",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Odonus niger,https://bubba751.github.io/Saltwater-HTML-Files/Trigger Niger (Medium).html,TR06
Trigger Rectangular (Large),"Beta Brine, Marine Cuisine, Emerald Entree, Krill, Squid, Silverside",Semi-Aggressive,Not Reef Safe,20 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Tan/brown body with bold geometric black striping,Aggressive Community (fish-only),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Rhinecanthus rectangulus / Balistes sp. (Rectangular Trigger),https://bubba751.github.io/Saltwater-HTML-Files/Trigger Rectangular (Large).html,TR05
Trigger Rectangular (Medium),"Beta Brine, Marine Cuisine, Emerald Entree, Krill, Squid, Silverside",Semi-Aggressive,Not Reef Safe,20 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Tan/brown body with bold geometric black striping,Aggressive Community (fish-only),76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Rhinecanthus rectangulus / Balistes sp. (Rectangular Trigger),https://bubba751.github.io/Saltwater-HTML-Files/Trigger Rectangular (Medium).html,TR04
Wrasse 6 Line,"Beta Brine, ROE, Arcti Pods",Semi-Aggressive,Reef Safe,4 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,Orange body with 6 horizontal purple-blue stripes,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Pseudocheilinus hexataenia,https://bubba751.github.io/Saltwater-HTML-Files/Wrasse 6 Line.html,WR17
Wrasse Banana,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,4 Inches,30 Gallon,4-6 Years,Yes,Easy,2-3,Solid bright yellow body,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Halichoeres chrysus (Banana/Yellow Wrasse - often called Banana Wrasse in trade),https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Banana.html,WR01
Wrasse Carpenter,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,"Red-orange body with blue striping, flashing fin displays in males","Peaceful Community, best kept as 1 male with several females",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Paracheilinus carpenteri (Flasher Wrasse),https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Carpenter.html,WR02
Wrasse Christmas,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,8 Inches,29 Gallon,4-6 Years,Yes,Easy,2-3,Green body with red/pink striping and spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Halichoeres ornatissimus (Christmas Wrasse),https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Christmas.html,WR03
Wrasse Fairy,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,4-5 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,"Varies by species, often pink/purple/red","Peaceful Community, best 1 male with several females",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Cirrhilabrus spp.,https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Fairy.html,WR06
Wrasse Fairy Purple,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,Deep purple/violet body,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Cirrhilabrus rubrisquamis or similar purple fairy wrasse,https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Fairy Purple.html,WR04
Wrasse Fairy Solon,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,5 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,Red-orange body with blue facial markings,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Cirrhilabrus solorensis,https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Fairy Solon.html,WR05
Wrasse Flasher,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,Yes,Easy,2-3,"Varies by species, vivid red/purple with flashing fin displays","Peaceful Community, best 1 male with several females",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Paracheilinus spp.,https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Flasher.html,WR07
Wrasse Harlequin Tusk,"Beta Brine, ROE, Arcti Pods",Semi-Aggressive,Not Reef Safe,10 Inches,55 Gallon,6-10 Years,Yes,Easy,2-3,"Orange body with blue horizontal stripes, blue tusk-like teeth",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Choerodon fasciatus,https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Harlequin Tusk.html,WR08
Wrasse Hogfish Dianas,"Beta Brine, ROE, Arcti Pods",Semi-Aggressive,Not Reef Safe,6 Inches,30 Gallon,4-6 Years,Yes,Easy,2-3,"Named after Diana, the Roman goddess of the chase and the moon, it is widely celebrated for its striking coloration",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Bodianus diana,https://github.com/Bubba751/Saltwater-HTML-Files/blob/main/Wrasse%20Hogfish%20Dianas.html,X506999
Wrasse Leopard,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,8 Inches,20 Gallon,4-6 Years,Yes,Moderate,2-3,"Dark body with white spotting, orange highlights",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Macropharyngodon meleagris (Leopard/Guinea Fowl Wrasse),https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Leopard.html,WR09
Wrasse Lunare,"Beta Brine, ROE, Arcti Pods",Semi-Aggressive,Reef Caution,12 Inches,29 Gallon,6-10 Years,Yes,Easy,2-3,"Green body with pink/purple facial markings, yellow crescent tail",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Thalassoma lunare (Moon/Lyretail Wrasse),https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Lunare.html,WR10
Wrasse McCosker,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,Red-orange body with blue-edged fins,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Cirrhilabrus mccoskeri,https://bubba751.github.io/Saltwater-HTML-Files/Wrasse McCosker.html,WR11
Wrasse Melanarus,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,5 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,Green-blue body with orange striping,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Halichoeres melanurus,https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Melanarus.html,WR12
Wrasse Potters,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,Green-yellow body with pink/orange striping,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Pacific,Halichoeres potteri (Potter's Wrasse),https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Potters.html,WR13
Wrasse Rainbow,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,"Multicolored body blending green, pink, and yellow",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Halichoeres iridis or similar (Rainbow Wrasse),https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Rainbow.html,WR14
Wrasse Red Coris (Extra Large),"Beta Brine, ROE, Arcti Pods",Semi-Aggressive,Reef Caution,14 Inches,29 Gallon,6-10 Years,Yes,Moderate,2-3,"Bright red-orange body with blue spotting as juvenile, changes with age",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Coris gaimard (Red Coris/Clown Coris Wrasse),https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Red Coris (Extra Large).html,WR15
Wrasse Red Tail,"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,5 Inches,29 Gallon,4-6 Years,Yes,Easy,2-3,Purple-blue body with a red tail,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Cirrhilabrus rubrisquamis / similar red-tail fairy wrasse,https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Red Tail.html,WR16
Wrasse Tri-Color (Extra Large),"Beta Brine, ROE, Arcti Pods",Peaceful,Reef Safe,4 Inches,20 Gallon,4-6 Years,Yes,Easy,2-3,"Blends of orange, purple, and yellow across the body",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Cirrhilabrus lubbocki or similar (Tri-Color Fairy Wrasse),https://bubba751.github.io/Saltwater-HTML-Files/Wrasse Tri-Color (Extra Large).html,WR18
